year,reporter,partner,product,indicator,value
2002,CHN,ARE,01-05_Animal,XPRT-TRD-VL,5044.908
2002,CHN,ARE,06-15_Vegetable,XPRT-TRD-VL,48341.45
2002,CHN,ARE,16-24_FoodProd,XPRT-TRD-VL,24397.197
2002,CHN,ARE,25-26_Minerals,XPRT-TRD-VL,1566.353
2002,CHN,ARE,27-27_Fuels,XPRT-TRD-VL,44337.268
2002,CHN,ARE,28-38_Chemicals,XPRT-TRD-VL,75951.198
2002,CHN,ARE,39-40_PlastiRub,XPRT-TRD-VL,160519.343
2002,CHN,ARE,41-43_HidesSkin,XPRT-TRD-VL,114061.366
2002,CHN,ARE,44-49_Wood,XPRT-TRD-VL,23119.321
2002,CHN,ARE,50-63_TextCloth,XPRT-TRD-VL,1074770.972
2002,CHN,ARE,64-67_Footwear,XPRT-TRD-VL,162937.557
2002,CHN,ARE,68-71_StoneGlas,XPRT-TRD-VL,104379.144
2002,CHN,ARE,72-83_Metals,XPRT-TRD-VL,260094.585
2002,CHN,ARE,84-85_MachElec,XPRT-TRD-VL,957581.459
2002,CHN,ARE,86-89_Transport,XPRT-TRD-VL,98870.445
2002,CHN,ARE,90-99_Miscellan,XPRT-TRD-VL,284985.066
2002,CHN,AUS,01-05_Animal,XPRT-TRD-VL,18480.518
2002,CHN,AUS,06-15_Vegetable,XPRT-TRD-VL,25258.326
2002,CHN,AUS,16-24_FoodProd,XPRT-TRD-VL,90045.148
2002,CHN,AUS,25-26_Minerals,XPRT-TRD-VL,17350.943
2002,CHN,AUS,27-27_Fuels,XPRT-TRD-VL,108095.05
2002,CHN,AUS,28-38_Chemicals,XPRT-TRD-VL,287752.652
2002,CHN,AUS,39-40_PlastiRub,XPRT-TRD-VL,193869.152
2002,CHN,AUS,41-43_HidesSkin,XPRT-TRD-VL,105125.594
2002,CHN,AUS,44-49_Wood,XPRT-TRD-VL,89118.125
2002,CHN,AUS,50-63_TextCloth,XPRT-TRD-VL,1242350.65
2002,CHN,AUS,64-67_Footwear,XPRT-TRD-VL,166290.479
2002,CHN,AUS,68-71_StoneGlas,XPRT-TRD-VL,152523.827
2002,CHN,AUS,72-83_Metals,XPRT-TRD-VL,368860.574
2002,CHN,AUS,84-85_MachElec,XPRT-TRD-VL,1185141.173
2002,CHN,AUS,86-89_Transport,XPRT-TRD-VL,117277.827
2002,CHN,AUS,90-99_Miscellan,XPRT-TRD-VL,417469.625
2002,CHN,AUT,06-15_Vegetable,XPRT-TRD-VL,697.83
2002,CHN,AUT,25-26_Minerals,XPRT-TRD-VL,432.643
2002,CHN,AUT,27-27_Fuels,XPRT-TRD-VL,3604.353
2002,CHN,AUT,28-38_Chemicals,XPRT-TRD-VL,12070.874
2002,CHN,AUT,39-40_PlastiRub,XPRT-TRD-VL,7104.208
2002,CHN,AUT,50-63_TextCloth,XPRT-TRD-VL,45710.174
2002,CHN,AUT,64-67_Footwear,XPRT-TRD-VL,22339.518
2002,CHN,AUT,72-83_Metals,XPRT-TRD-VL,28036.349
2002,CHN,AUT,86-89_Transport,XPRT-TRD-VL,4460.527
2002,CHN,BEL,01-05_Animal,XPRT-TRD-VL,11341.35
2002,CHN,BEL,06-15_Vegetable,XPRT-TRD-VL,26440.106
2002,CHN,BEL,16-24_FoodProd,XPRT-TRD-VL,21909.595
2002,CHN,BEL,25-26_Minerals,XPRT-TRD-VL,16458.425
2002,CHN,BEL,27-27_Fuels,XPRT-TRD-VL,86334.88
2002,CHN,BEL,28-38_Chemicals,XPRT-TRD-VL,268270.297
2002,CHN,BEL,39-40_PlastiRub,XPRT-TRD-VL,117649.586
2002,CHN,BEL,41-43_HidesSkin,XPRT-TRD-VL,120268.796
2002,CHN,BEL,44-49_Wood,XPRT-TRD-VL,47468.31
2002,CHN,BEL,50-63_TextCloth,XPRT-TRD-VL,332812.591
2002,CHN,BEL,64-67_Footwear,XPRT-TRD-VL,188864.077
2002,CHN,BEL,68-71_StoneGlas,XPRT-TRD-VL,420363.215
2002,CHN,BEL,72-83_Metals,XPRT-TRD-VL,216358.636
2002,CHN,BEL,84-85_MachElec,XPRT-TRD-VL,710654.7
2002,CHN,BEL,86-89_Transport,XPRT-TRD-VL,29379.309
2002,CHN,BEL,90-99_Miscellan,XPRT-TRD-VL,261273.364
2002,CHN,BGR,06-15_Vegetable,XPRT-TRD-VL,13382.676
2002,CHN,BGR,27-27_Fuels,XPRT-TRD-VL,1579.5
2002,CHN,BGR,28-38_Chemicals,XPRT-TRD-VL,6417.085
2002,CHN,BGR,39-40_PlastiRub,XPRT-TRD-VL,1696.036
2002,CHN,BGR,50-63_TextCloth,XPRT-TRD-VL,28171.605
2002,CHN,BGR,64-67_Footwear,XPRT-TRD-VL,12931.528
2002,CHN,BGR,72-83_Metals,XPRT-TRD-VL,2407.386
2002,CHN,BGR,86-89_Transport,XPRT-TRD-VL,3708.651
2002,CHN,BRA,01-05_Animal,XPRT-TRD-VL,1777.88
2002,CHN,BRA,06-15_Vegetable,XPRT-TRD-VL,22315.163
2002,CHN,BRA,16-24_FoodProd,XPRT-TRD-VL,5209.526
2002,CHN,BRA,25-26_Minerals,XPRT-TRD-VL,1607.097
2002,CHN,BRA,27-27_Fuels,XPRT-TRD-VL,223306.159
2002,CHN,BRA,28-38_Chemicals,XPRT-TRD-VL,204687.25
2002,CHN,BRA,39-40_PlastiRub,XPRT-TRD-VL,36381.897
2002,CHN,BRA,41-43_HidesSkin,XPRT-TRD-VL,32542.71
2002,CHN,BRA,44-49_Wood,XPRT-TRD-VL,3952.902
2002,CHN,BRA,50-63_TextCloth,XPRT-TRD-VL,148016.123
2002,CHN,BRA,64-67_Footwear,XPRT-TRD-VL,37791.988
2002,CHN,BRA,68-71_StoneGlas,XPRT-TRD-VL,24354.132
2002,CHN,BRA,72-83_Metals,XPRT-TRD-VL,62200.888
2002,CHN,BRA,84-85_MachElec,XPRT-TRD-VL,525605.367
2002,CHN,BRA,86-89_Transport,XPRT-TRD-VL,30427.557
2002,CHN,BRA,90-99_Miscellan,XPRT-TRD-VL,106205.701
2002,CHN,CAN,01-05_Animal,XPRT-TRD-VL,60845.562
2002,CHN,CAN,06-15_Vegetable,XPRT-TRD-VL,43391.543
2002,CHN,CAN,16-24_FoodProd,XPRT-TRD-VL,77054.308
2002,CHN,CAN,25-26_Minerals,XPRT-TRD-VL,14919.705
2002,CHN,CAN,27-27_Fuels,XPRT-TRD-VL,31281.438
2002,CHN,CAN,28-38_Chemicals,XPRT-TRD-VL,158027.515
2002,CHN,CAN,39-40_PlastiRub,XPRT-TRD-VL,203921.229
2002,CHN,CAN,41-43_HidesSkin,XPRT-TRD-VL,263153.14
2002,CHN,CAN,44-49_Wood,XPRT-TRD-VL,78568.985
2002,CHN,CAN,50-63_TextCloth,XPRT-TRD-VL,809956.383
2002,CHN,CAN,64-67_Footwear,XPRT-TRD-VL,240634.514
2002,CHN,CAN,68-71_StoneGlas,XPRT-TRD-VL,116834.024
2002,CHN,CAN,72-83_Metals,XPRT-TRD-VL,401753.969
2002,CHN,CAN,84-85_MachElec,XPRT-TRD-VL,1047156.233
2002,CHN,CAN,86-89_Transport,XPRT-TRD-VL,142647.325
2002,CHN,CAN,90-99_Miscellan,XPRT-TRD-VL,612884.351
2002,CHN,CHE,06-15_Vegetable,XPRT-TRD-VL,1292.291
2002,CHN,CHE,25-26_Minerals,XPRT-TRD-VL,236.231
2002,CHN,CHE,27-27_Fuels,XPRT-TRD-VL,5512.045
2002,CHN,CHE,28-38_Chemicals,XPRT-TRD-VL,76663.199
2002,CHN,CHE,39-40_PlastiRub,XPRT-TRD-VL,9332.271
2002,CHN,CHE,50-63_TextCloth,XPRT-TRD-VL,254536.093
2002,CHN,CHE,64-67_Footwear,XPRT-TRD-VL,25426.775
2002,CHN,CHE,72-83_Metals,XPRT-TRD-VL,13855.197
2002,CHN,CHE,86-89_Transport,XPRT-TRD-VL,4614.903
2002,CHN,CHL,06-15_Vegetable,XPRT-TRD-VL,2290.993
2002,CHN,CHL,25-26_Minerals,XPRT-TRD-VL,1769.97
2002,CHN,CHL,27-27_Fuels,XPRT-TRD-VL,1450.209
2002,CHN,CHL,28-38_Chemicals,XPRT-TRD-VL,39406.425
2002,CHN,CHL,39-40_PlastiRub,XPRT-TRD-VL,44482.283
2002,CHN,CHL,50-63_TextCloth,XPRT-TRD-VL,359249.871
2002,CHN,CHL,64-67_Footwear,XPRT-TRD-VL,122650.561
2002,CHN,CHL,68-71_StoneGlas,XPRT-TRD-VL,19356.312
2002,CHN,CHL,72-83_Metals,XPRT-TRD-VL,52172.584
2002,CHN,CHL,84-85_MachElec,XPRT-TRD-VL,186268.601
2002,CHN,CHL,86-89_Transport,XPRT-TRD-VL,28804.123
2002,CHN,CYP,06-15_Vegetable,XPRT-TRD-VL,179.105
2002,CHN,CYP,25-26_Minerals,XPRT-TRD-VL,106.233
2002,CHN,CYP,27-27_Fuels,XPRT-TRD-VL,12883.363
2002,CHN,CYP,28-38_Chemicals,XPRT-TRD-VL,8777.258
2002,CHN,CYP,39-40_PlastiRub,XPRT-TRD-VL,3818.94
2002,CHN,CYP,50-63_TextCloth,XPRT-TRD-VL,30485.363
2002,CHN,CYP,64-67_Footwear,XPRT-TRD-VL,3615.425
2002,CHN,CYP,72-83_Metals,XPRT-TRD-VL,10483.962
2002,CHN,CYP,86-89_Transport,XPRT-TRD-VL,118656.252
2002,CHN,CZE,06-15_Vegetable,XPRT-TRD-VL,1804.465
2002,CHN,CZE,25-26_Minerals,XPRT-TRD-VL,289.459
2002,CHN,CZE,27-27_Fuels,XPRT-TRD-VL,61.613
2002,CHN,CZE,28-38_Chemicals,XPRT-TRD-VL,16562.365
2002,CHN,CZE,39-40_PlastiRub,XPRT-TRD-VL,7477.187
2002,CHN,CZE,50-63_TextCloth,XPRT-TRD-VL,267603.288
2002,CHN,CZE,64-67_Footwear,XPRT-TRD-VL,51735.584
2002,CHN,CZE,72-83_Metals,XPRT-TRD-VL,13840.547
2002,CHN,CZE,86-89_Transport,XPRT-TRD-VL,7194.448
2002,CHN,DEU,01-05_Animal,XPRT-TRD-VL,209598.935
2002,CHN,DEU,06-15_Vegetable,XPRT-TRD-VL,127577.572
2002,CHN,DEU,16-24_FoodProd,XPRT-TRD-VL,139854.643
2002,CHN,DEU,25-26_Minerals,XPRT-TRD-VL,9358.675
2002,CHN,DEU,27-27_Fuels,XPRT-TRD-VL,50453.57
2002,CHN,DEU,28-38_Chemicals,XPRT-TRD-VL,703382.665
2002,CHN,DEU,39-40_PlastiRub,XPRT-TRD-VL,291530.512
2002,CHN,DEU,41-43_HidesSkin,XPRT-TRD-VL,475832.67
2002,CHN,DEU,44-49_Wood,XPRT-TRD-VL,116331.778
2002,CHN,DEU,50-63_TextCloth,XPRT-TRD-VL,1191616.496
2002,CHN,DEU,64-67_Footwear,XPRT-TRD-VL,249720.801
2002,CHN,DEU,68-71_StoneGlas,XPRT-TRD-VL,201677.35
2002,CHN,DEU,72-83_Metals,XPRT-TRD-VL,652819.217
2002,CHN,DEU,84-85_MachElec,XPRT-TRD-VL,4992197.891
2002,CHN,DEU,86-89_Transport,XPRT-TRD-VL,642709.86
2002,CHN,DEU,90-99_Miscellan,XPRT-TRD-VL,1316568.973
2002,CHN,DNK,06-15_Vegetable,XPRT-TRD-VL,4289.146
2002,CHN,DNK,25-26_Minerals,XPRT-TRD-VL,1070.877
2002,CHN,DNK,27-27_Fuels,XPRT-TRD-VL,532.384
2002,CHN,DNK,28-38_Chemicals,XPRT-TRD-VL,36257.406
2002,CHN,DNK,39-40_PlastiRub,XPRT-TRD-VL,35621.931
2002,CHN,DNK,50-63_TextCloth,XPRT-TRD-VL,197788.891
2002,CHN,DNK,64-67_Footwear,XPRT-TRD-VL,21725.977
2002,CHN,DNK,68-71_StoneGlas,XPRT-TRD-VL,22746.431
2002,CHN,DNK,72-83_Metals,XPRT-TRD-VL,62116.723
2002,CHN,DNK,84-85_MachElec,XPRT-TRD-VL,182193.075
2002,CHN,DNK,86-89_Transport,XPRT-TRD-VL,175296.035
2002,CHN,ESP,01-05_Animal,XPRT-TRD-VL,18497.566
2002,CHN,ESP,06-15_Vegetable,XPRT-TRD-VL,26661.21
2002,CHN,ESP,16-24_FoodProd,XPRT-TRD-VL,55185.602
2002,CHN,ESP,25-26_Minerals,XPRT-TRD-VL,9154.93
2002,CHN,ESP,27-27_Fuels,XPRT-TRD-VL,13341.534
2002,CHN,ESP,28-38_Chemicals,XPRT-TRD-VL,273508.866
2002,CHN,ESP,39-40_PlastiRub,XPRT-TRD-VL,99773.001
2002,CHN,ESP,41-43_HidesSkin,XPRT-TRD-VL,193990.565
2002,CHN,ESP,44-49_Wood,XPRT-TRD-VL,62453.252
