year,reporter,partner,product,indicator,value
2002,CHN,USA,Total,XPRT-TRD-VL,70050092.091
2003,CHN,USA,Total,XPRT-TRD-VL,92626296.055
2004,CHN,USA,Total,XPRT-TRD-VL,125148955.896
2005,CHN,USA,Total,XPRT-TRD-VL,163180459.034
2006,CHN,USA,Total,XPRT-TRD-VL,203801045.737
2007,CHN,USA,Total,XPRT-TRD-VL,233168789.977
2008,CHN,USA,Total,XPRT-TRD-VL,252843530.635
2009,CHN,USA,Total,XPRT-TRD-VL,221295019.639
2010,CHN,USA,Total,XPRT-TRD-VL,283780322.735
2011,CHN,USA,Total,XPRT-TRD-VL,325010987.549
2012,CHN,USA,Total,XPRT-TRD-VL,352438221.016
2013,CHN,USA,Total,XPRT-TRD-VL,369063858.557
2014,CHN,USA,Total,XPRT-TRD-VL,397099249.674
2015,CHN,USA,Total,XPRT-TRD-VL,409979244.393
2016,CHN,USA,Total,XPRT-TRD-VL,385677759.424
2017,CHN,USA,Total,XPRT-TRD-VL,430328146.524
2018,CHN,USA,Total,XPRT-TRD-VL,479278747.159
2019,CHN,USA,Total,XPRT-TRD-VL,419322648.638
2020,CHN,USA,Total,XPRT-TRD-VL,452492876.334
2021,CHN,USA,Total,XPRT-TRD-VL,568174902.455
2022,CHN,USA,Total,XPRT-TRD-VL,582756110.047
2002,CHN,DEU,Total,XPRT-TRD-VL,11371849.916
2003,CHN,DEU,Total,XPRT-TRD-VL,17442112.338
2004,CHN,DEU,Total,XPRT-TRD-VL,23755731.818
2005,CHN,DEU,Total,XPRT-TRD-VL,32527131.213
2006,CHN,DEU,Total,XPRT-TRD-VL,40314598.128
2007,CHN,DEU,Total,XPRT-TRD-VL,48744144.23
2008,CHN,DEU,Total,XPRT-TRD-VL,59208951.16
2009,CHN,DEU,Total,XPRT-TRD-VL,49919564.279
2010,CHN,DEU,Total,XPRT-TRD-VL,68047133.397
2011,CHN,DEU,Total,XPRT-TRD-VL,76399999.43
2012,CHN,DEU,Total,XPRT-TRD-VL,69212732.296
2013,CHN,DEU,Total,XPRT-TRD-VL,67342500.439
2014,CHN,DEU,Total,XPRT-TRD-VL,72703048.969
2015,CHN,DEU,Total,XPRT-TRD-VL,69154833.607
2016,CHN,DEU,Total,XPRT-TRD-VL,65214030.647
2017,CHN,DEU,Total,XPRT-TRD-VL,71134400.096
2018,CHN,DEU,Total,XPRT-TRD-VL,77489342.157
2019,CHN,DEU,Total,XPRT-TRD-VL,79789085.186
2020,CHN,DEU,Total,XPRT-TRD-VL,86807061.051
2021,CHN,DEU,Total,XPRT-TRD-VL,114100628.413
2022,CHN,DEU,Total,XPRT-TRD-VL,116226631.561
2002,CHN,NLD,Total,XPRT-TRD-VL,9107558.607
2003,CHN,NLD,Total,XPRT-TRD-VL,13501234.886
2004,CHN,NLD,Total,XPRT-TRD-VL,18518819.008
2005,CHN,NLD,Total,XPRT-TRD-VL,25875734.757
2006,CHN,NLD,Total,XPRT-TRD-VL,30861137.796
2007,CHN,NLD,Total,XPRT-TRD-VL,41423052.427
2008,CHN,NLD,Total,XPRT-TRD-VL,45918580.557
2009,CHN,NLD,Total,XPRT-TRD-VL,36682224.862
2010,CHN,NLD,Total,XPRT-TRD-VL,49704161.455
2011,CHN,NLD,Total,XPRT-TRD-VL,59499691.403
2012,CHN,NLD,Total,XPRT-TRD-VL,58898784.96
2013,CHN,NLD,Total,XPRT-TRD-VL,60314751.572
2014,CHN,NLD,Total,XPRT-TRD-VL,64928515.588
2015,CHN,NLD,Total,XPRT-TRD-VL,59453380.174
2016,CHN,NLD,Total,XPRT-TRD-VL,57447210.217
2017,CHN,NLD,Total,XPRT-TRD-VL,67131666.962
2018,CHN,NLD,Total,XPRT-TRD-VL,72834750.636
2019,CHN,NLD,Total,XPRT-TRD-VL,73978795.554
2020,CHN,NLD,Total,XPRT-TRD-VL,79006012.371
2021,CHN,NLD,Total,XPRT-TRD-VL,101453947.986
2022,CHN,NLD,Total,XPRT-TRD-VL,117730967.517
2002,CHN,JPN,Total,XPRT-TRD-VL,48433840.387
2003,CHN,JPN,Total,XPRT-TRD-VL,59408697.992
2004,CHN,JPN,Total,XPRT-TRD-VL,73509042.094
2005,CHN,JPN,Total,XPRT-TRD-VL,83986277.412
2006,CHN,JPN,Total,XPRT-TRD-VL,91622673.33
2007,CHN,JPN,Total,XPRT-TRD-VL,102062496.249
2008,CHN,JPN,Total,XPRT-TRD-VL,116132454.516
2009,CHN,JPN,Total,XPRT-TRD-VL,97910965.891
2010,CHN,JPN,Total,XPRT-TRD-VL,121043964.529
2011,CHN,JPN,Total,XPRT-TRD-VL,148268708.074
2012,CHN,JPN,Total,XPRT-TRD-VL,151626580.721
2013,CHN,JPN,Total,XPRT-TRD-VL,150132588.978
2014,CHN,JPN,Total,XPRT-TRD-VL,149391340.472
2015,CHN,JPN,Total,XPRT-TRD-VL,135616442.813
